readid|title|author|published|format|keywords|read
aa078|Thomas Jefferson and the Tripoli Pirates|Brian Kilmeade|2016|Libby|biography history american history islam|2023-08-17
aa079|The Triple Helix: Gene, Organism, and Environment|Richard Lewontin|2000|hardcover|evolutionary biology genetics|2023-09-04
aa080|Science in the Soul|Richard Dawkins|2017|Libby|essays evolutionary biology|2023-10-03
aa081|Carry On, Jeeves|P. G. Wodehouse|1925|paperback|fiction comic|2023-10-15
aa082|Circe|Madeleine Miller|2018|Libby|fiction greek mythology|2023-10-24
aa083|Feelings and Knowing|Antonio Damasio|2021|Libby|neuroscience biology|2023-10-27
aa084|Irreversible Damage|Abigail Shrier|2020|Libby|transgender|2023-11-07
aa085|Behave|Robert M. Sapolsky|2017|paperback|neuroscience biology psychology endocrinology|2023-11-13
aa086|If on a winters night a traveler|Italo Calvino|1979|paperback|fiction|2023-11-18
aa087|The Magic of Reality|Richard Dawkins|2011|Libby|evolutionary biology mythology creation myths|2023-11-28
aa088|Elbow Room|Daniel C. Dennett|1984|Libby|philosophy free will compatibalism determinism|2023-11-30
aa089|The Passenger|Cormac McCarthy|2022|hardcover|fiction|2023-12-26
aa090|Consciousness Explained|Daniel Dennett|1992|paperback|consciousness philosophy neuroscience|2023-12-31
aa091|Brief Candle in the Dark|Richard Dawkins|2015|Libby|essays evolutionary biology|2024-01-25
aa092|Jesus and John Wayne: How White Evangelicals Corrupted a Faith and Fractured a Nation|Kristin Kobes Du Mez|2020|Libby|religion evangelical christianity|2024-02-08
aa093|Heroes: Mortals and Monsters, Quests and Adventures|Stephen Fry|2018|Libby|greek mythology|2024-02-15
aa094|Not In Our Genes|Richard C. Lewontin, Steven Rose, Leon J. Kamin|1984|hardback|evolutionary biology genetics|2024-02-20
aa096|Lucky Jim|Kingsley Amis|1954|paperback|fiction comic|2024-02-26
aa095|Sentience: The Invention of Consciousness|Nicholas Humphrey|2023|Libby|artificial intelligence neuroscience consciousness|2024-02-29
aa102|Subliminal: How Your Unconscious Mind Rules Your Behavior|Leonard Mlodinow|2012|paperback|neuroscience psychology|2024-03-07
aa103|Quantum Man: Richard Feynman's Life in Science|Lawrence M. Krauss|2011|Libby|quantum mechanics qed biography physics quantum electrodynamics|2024-03-21
aa104|Genius: The Life and Science of Richard Feynman|James Gleick|1993|Libby|quantum mechanics qed biography physics quantum electrodynamics|2024-04-14
aa098|A Thousand Brains: A New Theory of Intelligence|Jeff Hawkins|2021|hardback|neuroscience artificial intelligence|2024-04-25
aa106|Johann Sebastian Bach: The Learned Musician|Christoph Wolff|2001|Libby|music bach baroque biography|2024-05-01
aa109|Six Impossible Things: The Mysteries of the Quantum World|John Gribbin|2019|Libby|quantum physics theoretical physics|2024-05-02
aa110|Touching a Nerve: The Self as Brain|Patricia S. Churchland|2013|Libby|philosophy neuroscience mind|2024-05-08
aa111|Kitchen Confidential: Adventures in the Culinary Underbelly|Anthony Bourdain|2000|Libby|food restaurants culinary industry autobiography|2024-05-11
aa112|White Holes|Carlo Rovelli|2023|Libby|astrophysics cosmology|2024-05-12
aa113|Isaac Newton|James Gleick|2004|Libby|biography physics newtonian mechanics enlightenment|2024-05-14
aa114|In a Different Key: The Story of Autism|John Donvan, Caren Zucker|2016|hardcover|autism neuroscience|2024-05-24
